id,district,plot.number,plot.part,taxpayer.men,taxpayer.women,no.tax.men,no.tax.women,in.russia.men,in.russia.women,total.men,total.women,owner,rent,other,orthodox,other.christian,other.religion,draftee
225,1,48,,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0
226,1,48,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
227,1,48,,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0
228,1,48,,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0
229,1,48,,2,4,0,0,0,0,2,4,5,1,0,5,0,0,0
230,1,48,,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
231,1,48,,1,2,1,2,0,0,2,4,0,0,6,0,0,0,0
232,1,48,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
233,1,48,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
234,1,48,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
235,1,48,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
236,1,48,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
237,1,48,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
238,1,48,,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0
239,1,48,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
240,1,48,,2,2,0,0,0,0,2,2,0,0,4,0,0,0,0
241,1,48,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
242,1,49,,1,5,4,1,0,0,5,6,7,4,0,0,0,0,0
243,1,49,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
244,1,49,,1,5,0,0,0,0,1,5,0,4,0,0,0,0,0
245,1,49,,1,2,0,0,0,0,1,2,0,0,3,0,0,0,0
246,1,49,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
247,1,49,,2,1,2,3,0,0,4,4,6,2,0,0,0,0,0
248,1,50,,3,2,1,1,0,0,4,3,3,4,0,0,0,0,1
249,1,50,,1,3,0,3,0,0,1,6,0,7,0,6,0,0,0
250,1,50,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
251,1,50,,2,4,1,0,0,0,3,4,5,2,0,0,0,0,0
252,1,50,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
253,1,50,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
254,1,50,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
255,1,50,,1,2,4,3,0,0,5,5,10,0,0,0,0,0,0
256,1,50,,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0
